Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     12.58     0.00      366     0.00     0.00  Vtb___024root___eval_phase__act(Vtb___024root*)
  0.00     12.58     0.00      366     0.00     0.00  Vtb___024root___eval_triggers__act(Vtb___024root*)
  0.00     12.58     0.00      351     0.00     0.00  std::__shared_ptr<VlProcess, (__gnu_cxx::_Lock_policy)2>::__shared_ptr(std::__shared_ptr<VlProcess, (__gnu_cxx::_Lock_policy)2> const&)
  0.00     12.58     0.00      330     0.00     0.00  VlCoroutineHandle::~VlCoroutineHandle()
  0.00     12.58     0.00      238     0.00     0.00  VlCoroutine::VlPromise::final_suspend()
  0.00     12.58     0.00      213     0.00     0.00  VlCoroutineHandle::VlCoroutineHandle(VlCoroutineHandle&&)
  0.00     12.58     0.00      185     0.00     0.00  Vtb___024root___timing_resume(Vtb___024root*)
  0.00     12.58     0.00      181     0.00     0.07  Vtb___024root___eval_phase__nba(Vtb___024root*)
  0.00     12.58     0.00      117     0.00     0.00  _GLOBAL__sub_I__ZN9Verilated7s_debugE
  0.00     12.58     0.00      117     0.00     0.00  VlCoroutineHandle::VlCoroutineHandle(std::__n4861::coroutine_handle<void>, std::shared_ptr<VlProcess>, VlFileLineDebug)
  0.00     12.58     0.00      116     0.00     0.00  VlCoroutineHandle::resume()
  0.00     12.58     0.00       97     0.00     0.00  VlDelayScheduler::delay(unsigned long, std::shared_ptr<VlProcess>, char const*, int)::Awaitable::await_suspend(std::__n4861::coroutine_handle<void>)
  0.00     12.58     0.00       92     0.00     0.00  Vtb::Vtb(char const*)
  0.00     12.58     0.00       92     0.00     0.00  VlDeleter::deleteAll()
  0.00     12.58     0.00       91     0.00     0.14  Vtb___024root___eval(Vtb___024root*)
  0.00     12.58     0.00       91     0.00     0.00  VerilatedEvalMsgQueue::process()
  0.00     12.58     0.00       91     0.00     0.00  VerilatedThreadMsgQueue::flush(VerilatedEvalMsgQueue*)
  0.00     12.58     0.00       91     0.00     0.00  VerilatedThreadMsgQueue::threadton()
  0.00     12.58     0.00       91     0.00     0.00  Vtb::nextTimeSlot()
  0.00     12.58     0.00       91     0.00     0.00  Vtb::eventsPending()
  0.00     12.58     0.00       91     0.00     0.14  Vtb::eval_step()
  0.00     12.58     0.00       91     0.00     0.00  Verilated::endOfEval(VerilatedEvalMsgQueue*)
  0.00     12.58     0.00       91     0.00     0.00  VlDelayScheduler::nextTimeSlot() const
  0.00     12.58     0.00       90     0.00     0.00  Vtb___024root___eval_nba(Vtb___024root*)
  0.00     12.58     0.00       90     0.00     0.00  VlDelayScheduler::resume()
  0.00     12.58     0.00       90     0.00     0.00  VlTriggerScheduler::resume(char const*)
  0.00     12.58     0.00       62     0.00     0.00  std::mutex::lock()
  0.00     12.58     0.00       60     0.00     0.00  std::_Function_handler<void (), VL_PRINTF_MT(char const*, ...)::{lambda()#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00     12.58     0.00       45     0.00     0.00  Vtb___024root___nba_sequent__TOP__0__PROF__performance_degrade__l62(Vtb___024root*)
  0.00     12.58     0.00       42     0.00     0.00  std::_Function_base::~_Function_base()
  0.00     12.58     0.00       31     0.00     0.00  VlWorkerThread::addTask(void (*)(void*, bool), void*, bool)
  0.00     12.58     0.00       31     0.00     0.00  VlWorkerThread::shutdown()
  0.00     12.58     0.00       31     0.00     0.00  VlWorkerThread::VlWorkerThread(VerilatedContext*)
  0.00     12.58     0.00       31     0.00     0.00  VlWorkerThread::~VlWorkerThread()
  0.00     12.58     0.00       31     0.00     0.00  std::unique_ptr<std::thread::_State, std::default_delete<std::thread::_State> >::~unique_ptr()
  0.00     12.58     0.00       31     0.00     0.00  std::_Vector_base<VlWorkerThread::ExecRec, std::allocator<VlWorkerThread::ExecRec> >::~_Vector_base()
  0.00     12.58     0.00       31     0.00     0.00  std::_Sp_counted_ptr_inplace<std::mutex, std::allocator<std::mutex>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00     12.58     0.00       31     0.00     0.00  std::_Sp_counted_ptr_inplace<std::mutex, std::allocator<std::mutex>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00     12.58     0.00       31     0.00     0.00  void std::_V2::condition_variable_any::wait<VerilatedMutex>(VerilatedMutex&)
  0.00     12.58     0.00       31     0.00     0.00  std::thread::_State_impl<std::thread::_Invoker<std::tuple<void (*)(VlWorkerThread*, VerilatedContext*), VlWorkerThread*, VerilatedContext*> > >::~_State_impl()
  0.00     12.58     0.00       31     0.00     0.00  void std::vector<VlWorkerThread::ExecRec, std::allocator<VlWorkerThread::ExecRec> >::_M_realloc_insert<void (*&)(void*, bool), void*&, bool&>(__gnu_cxx::__normal_iterator<VlWorkerThread::ExecRec*, std::vector<VlWorkerThread::ExecRec, std::allocator<VlWorkerThread::ExecRec> > >, void (*&)(void*, bool), void*&, bool&)
  0.00     12.58     0.00       31     0.00     0.00  std::vector<VlWorkerThread::ExecRec, std::allocator<VlWorkerThread::ExecRec> >::_M_erase(__gnu_cxx::__normal_iterator<VlWorkerThread::ExecRec*, std::vector<VlWorkerThread::ExecRec, std::allocator<VlWorkerThread::ExecRec> > >)
  0.00     12.58     0.00       29     0.00     0.00  Vtb___024root___eval_initial__TOP__Vtiming__1(Vtb___024root*)
  0.00     12.58     0.00       25     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00     12.58     0.00       21     0.00     0.00  VerilatedMsg::VerilatedMsg(std::function<void ()> const&)
  0.00     12.58     0.00       21     0.00     0.00  VerilatedThreadMsgQueue::post(VerilatedMsg const&)
  0.00     12.58     0.00       21     0.00     0.00  std::function<void ()>::operator()() const
  0.00     12.58     0.00       21     0.00     0.00  std::function<void ()>::function(std::function<void ()> const&)
  0.00     12.58     0.00       20     0.00     0.00  VL_PRINTF_MT(char const*, ...)
  0.00     12.58     0.00       20     0.00     0.00  _vl_string_vprintf[abi:cxx11](char const*, __va_list_tag*)
  0.00     12.58     0.00       20     0.00     0.00  VL_WRITEF(char const*, ...)
  0.00     12.58     0.00       20     0.00     0.00  std::_Function_handler<void (), VL_PRINTF_MT(char const*, ...)::{lambda()#1}>::_M_invoke(std::_Any_data const&)
  0.00     12.58     0.00       20     0.00     0.00  __gnu_cxx::__normal_iterator<VlCoroutineHandle*, std::vector<VlCoroutineHandle, std::allocator<VlCoroutineHandle> > > std::copy<std::move_iterator<__gnu_cxx::__normal_iterator<VlCoroutineHandle*, std::vector<VlCoroutineHandle, std::allocator<VlCoroutineHandle> > > >, __gnu_cxx::__normal_iterator<VlCoroutineHandle*, std::vector<VlCoroutineHandle, std::allocator<VlCoroutineHandle> > > >(std::move_iterator<__gnu_cxx::__normal_iterator<VlCoroutineHandle*, std::vector<VlCoroutineHandle, std::allocator<VlCoroutineHandle> > > >, std::move_iterator<__gnu_cxx::__normal_iterator<VlCoroutineHandle*, std::vector<VlCoroutineHandle, std::allocator<VlCoroutineHandle> > > >, __gnu_cxx::__normal_iterator<VlCoroutineHandle*, std::vector<VlCoroutineHandle, std::allocator<VlCoroutineHandle> > >)
  0.00     12.58     0.00       20     0.00     0.00  VlTriggerScheduler::trigger(bool, std::shared_ptr<VlProcess>, char const*, char const*, int)::Awaitable::await_suspend(std::__n4861::coroutine_handle<void>)
  0.00     12.58     0.00       15     0.00     0.00  VL_FOPEN_NN(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     12.58     0.00       10     0.00     0.00  VL_FCLOSE_I(unsigned int)
  0.00     12.58     0.00       10     0.00     0.00  VerilatedContextImp::fdClose(unsigned int)
  0.00     12.58     0.00        8     0.00     0.00  std::__mutex_base::__mutex_base()
  0.00     12.58     0.00        7     0.00     0.00  std::vector<VlCoroutineHandle, std::allocator<VlCoroutineHandle> >::~vector()
  0.00     12.58     0.00        6     0.00     0.00  VL_RAND_RESET_I(int)
  0.00     12.58     0.00        6     0.00     0.00  void std::vector<VlWorkerThread*, std::allocator<VlWorkerThread*> >::_M_realloc_insert<VlWorkerThread*>(__gnu_cxx::__normal_iterator<VlWorkerThread**, std::vector<VlWorkerThread*, std::allocator<VlWorkerThread*> > >, VlWorkerThread*&&)
  0.00     12.58     0.00        5     0.00     0.00  VL_CVT_PACK_STR_NW[abi:cxx11](int, unsigned int const*)
  0.00     12.58     0.00        4     0.00     0.00  Vtb___024root::__Vconfigure(bool)
  0.00     12.58     0.00        3     0.00     0.00  VerilatedContext::checkMagic(VerilatedContext const*)
  0.00     12.58     0.00        3     0.00     0.00  Vtb::threads() const
  0.00     12.58     0.00        3     0.00     0.00  std::unique_ptr<VerilatedVirtualBase, std::default_delete<VerilatedVirtualBase> >::~unique_ptr()
  0.00     12.58     0.00        2     0.00     0.00  Vtb___024root___ctor_var_reset(Vtb___024root*)
  0.00     12.58     0.00        2     0.00     0.00  VlCoroutine::VlPromise::~VlPromise()
  0.00     12.58     0.00        2     0.00     0.00  VlCoroutine::~VlCoroutine()
  0.00     12.58     0.00        2     0.00     0.00  VlTriggerScheduler::~VlTriggerScheduler()
  0.00     12.58     0.00        2     0.00     0.00  std::vector<VlCoroutineHandle, std::allocator<VlCoroutineHandle> >::_M_check_len(unsigned long, char const*) const
  0.00     12.58     0.00        2     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_M_check_len(unsigned long, char const*) const
  0.00     12.58     0.00        2     0.00     0.00  std::_Vector_base<VlDeletable*, std::allocator<VlDeletable*> >::~_Vector_base()
  0.00     12.58     0.00        2     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::~_Vector_base()
  0.00     12.58     0.00        2     0.00     0.00  _IO_FILE** std::__uninitialized_default_n_1<true>::__uninit_default_n<_IO_FILE**, unsigned long>(_IO_FILE**, unsigned long)
  0.00     12.58     0.00        2     0.00     0.00  unsigned int* std::__uninitialized_default_n_1<true>::__uninit_default_n<unsigned int*, unsigned long>(unsigned int*, unsigned long)
  0.00     12.58     0.00        2     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::clear()
  0.00     12.58     0.00        2     0.00     0.00  std::vector<_IO_FILE*, std::allocator<_IO_FILE*> >::_M_default_append(unsigned long)
  0.00     12.58     0.00        2     0.00     0.00  std::vector<_IO_FILE*, std::allocator<_IO_FILE*> >::resize(unsigned long)
  0.00     12.58     0.00        2     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_M_default_append(unsigned long)
  0.00     12.58     0.00        2     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::resize(unsigned long)
  0.00     12.58     0.00        1     0.00     0.00  VL_FINISH_MT(char const*, int, char const*)
  0.00     12.58     0.00        1     0.00     0.00  Vtb___024root___eval_initial(Vtb___024root*)
  0.00     12.58     0.00        1     0.00     0.00  Vtb___024root___eval_initial__TOP__Vtiming__0(Vtb___024root*)
  0.00     12.58     0.00        1     0.00     0.00  vl_finish(char const*, int, char const*)
  0.00     12.58     0.00        1     0.00     0.00  VlThreadPool::VlThreadPool(VerilatedContext*, unsigned int)
  0.00     12.58     0.00        1     0.00     0.00  VlThreadPool::~VlThreadPool()
  0.00     12.58     0.00        1     0.00     0.00  VlThreadPool::~VlThreadPool()
  0.00     12.58     0.00        1     0.00     0.00  VerilatedSyms::VerilatedSyms(VerilatedContext*)
  0.00     12.58     0.00        1     0.00     0.00  VerilatedSyms::~VerilatedSyms()
  0.00     12.58     0.00        1     0.00     0.00  Vtb___024root::Vtb___024root(Vtb__Syms*, char const*)
  0.00     12.58     0.00        1     0.00     0.00  Vtb___024root::~Vtb___024root()
  0.00     12.58     0.00        1     0.00     0.00  VerilatedModel::VerilatedModel(VerilatedContext&)
  0.00     12.58     0.00        1     0.00     0.00  VerilatedModule::VerilatedModule(char const*)
  0.00     12.58     0.00        1     0.00     0.00  VerilatedModule::~VerilatedModule()
  0.00     12.58     0.00        1     0.00     0.00  VerilatedContext::Serialized::Serialized()
  0.00     12.58     0.00        1     0.00     0.00  VerilatedContext::commandArgs(int, char const**)
  0.00     12.58     0.00        1     0.00     0.00  VerilatedContext::threadPoolp()
  0.00     12.58     0.00        1     0.00     0.00  VerilatedContext::threadPoolpOnClone()
  0.00     12.58     0.00        1     0.00     0.00  VerilatedContext::addModel(VerilatedModel*)
  0.00     12.58     0.00        1     0.00     0.00  VerilatedContext::timeunit(int)
  0.00     12.58     0.00        1     0.00     0.00  VerilatedContext::gotFinish(bool)
  0.00     12.58     0.00        1     0.00     0.00  VerilatedContext::VerilatedContext()
  0.00     12.58     0.00        1     0.00     0.00  VerilatedContext::~VerilatedContext()
  0.00     12.58     0.00        1     0.00     0.00  VlDelayScheduler::~VlDelayScheduler()
  0.00     12.58     0.00        1     0.00     0.00  VerilatedContextImp::commandArgVl(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     12.58     0.00        1     0.00     0.00  VerilatedContextImp::commandArgsGuts(int, char const**)
  0.00     12.58     0.00        1     0.00     0.00  VerilatedContextImp::commandArgsAddGuts(int, char const**)
  0.00     12.58     0.00        1     0.00     0.00  Vtb::Vtb(VerilatedContext*, char const*)
  0.00     12.58     0.00        1     0.00     0.00  Vtb::~Vtb()
  0.00     12.58     0.00        1     0.00     0.00  Vtb::~Vtb()
  0.00     12.58     0.00        1     0.00     0.00  Verilated::debug(int)
  0.00     12.58     0.00        1     0.00     0.00  VlDeleter::~VlDeleter()
  0.00     12.58     0.00        1     0.00     0.00  Vtb__Syms::Vtb__Syms(VerilatedContext*, char const*, Vtb*)
  0.00     12.58     0.00        1     0.00     0.00  Vtb__Syms::~Vtb__Syms()
  0.00     12.58     0.00        1     0.00     0.00  std::unique_ptr<VerilatedContext, std::default_delete<VerilatedContext> >::~unique_ptr()
  0.00     12.58     0.00        1     0.00     0.00  std::unique_ptr<VerilatedContextImpData, std::default_delete<VerilatedContextImpData> >::~unique_ptr()
  0.00     12.58     0.00        1     0.00     0.00  std::unique_ptr<Vtb, std::default_delete<Vtb> >::~unique_ptr()
  0.00     12.58     0.00        1     0.00     0.00  void std::_Destroy_aux<false>::__destroy<VerilatedMsg*>(VerilatedMsg*, VerilatedMsg*)
  0.00     12.58     0.00        1     0.00     0.00  std::_Vector_base<VlWorkerThread*, std::allocator<VlWorkerThread*> >::~_Vector_base()
  0.00     12.58     0.00        1     0.00     0.00  std::_Vector_base<_IO_FILE*, std::allocator<_IO_FILE*> >::~_Vector_base()
  0.00     12.58     0.00        1     0.00     0.00  std::__uniq_ptr_impl<VerilatedVirtualBase, std::default_delete<VerilatedVirtualBase> >::reset(VerilatedVirtualBase*)
  0.00     12.58     0.00        1     0.00     0.00  std::_Function_handler<void (), VL_FINISH_MT(char const*, int, char const*)::{lambda()#1}>::_M_invoke(std::_Any_data const&)
  0.00     12.58     0.00        1     0.00     0.00  void std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_realloc_insert<char const*&>(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, char const*&)
  0.00     12.58     0.00        1     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~vector()
  0.00     12.58     0.00        1     0.00     0.00  std::__cxx11::_List_base<std::pair<void (*)(void*), void*>, std::allocator<std::pair<void (*)(void*), void*> > >::_M_clear()

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2022 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.08% of 12.58 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     99.9    0.00   12.57                 main [1]
                0.00   12.57      91/91          Vtb::eval_step() [4]
                0.00    0.00      91/91          VerilatedEvalMsgQueue::process() [53]
                0.00    0.00      91/91          Verilated::endOfEval(VerilatedEvalMsgQueue*) [58]
                0.00    0.00      91/91          Vtb::eventsPending() [57]
                0.00    0.00      91/91          VlDelayScheduler::nextTimeSlot() const [59]
                0.00    0.00      91/91          Vtb::nextTimeSlot() [56]
                0.00    0.00       1/1           Verilated::debug(int) [145]
                0.00    0.00       1/1           VerilatedContext::VerilatedContext() [136]
                0.00    0.00       1/1           VerilatedContextImp::commandArgsGuts(int, char const**) [140]
                0.00    0.00       1/1           VerilatedContext::commandArgs(int, char const**) [130]
                0.00    0.00       1/1           VerilatedContext::addModel(VerilatedModel*) [133]
                0.00    0.00       1/1           Vtb::Vtb(VerilatedContext*, char const*) [142]
                0.00    0.00       1/1           Vtb::~Vtb() [143]
                0.00    0.00       1/1           std::unique_ptr<Vtb, std::default_delete<Vtb> >::~unique_ptr() [151]
                0.00    0.00       1/1           std::unique_ptr<VerilatedContext, std::default_delete<VerilatedContext> >::~unique_ptr() [149]
-----------------------------------------------
                0.00   12.57     181/181         Vtb___024root___eval(Vtb___024root*) [3]
[2]     99.9    0.00   12.57     181         Vtb___024root___eval_phase__nba(Vtb___024root*) [2]
               11.53    1.04       5/5           Vtb___024root___nba_sequent__TOP__1__PROF__performance_degrade__l65(Vtb___024root*) [5]
                0.00    0.00      90/90          Vtb___024root___eval_nba(Vtb___024root*) [13]
                0.00    0.00       5/20          VL_WRITEF(char const*, ...) [17]
                0.00    0.00      90/458         VlTriggerVec<4ul>::clear() [38]
-----------------------------------------------
                0.00   12.57      91/91          Vtb::eval_step() [4]
[3]     99.9    0.00   12.57      91         Vtb___024root___eval(Vtb___024root*) [3]
                0.00   12.57     181/181         Vtb___024root___eval_phase__nba(Vtb___024root*) [2]
                0.00    0.00     366/366         Vtb___024root___eval_phase__act(Vtb___024root*) [40]
-----------------------------------------------
                0.00   12.57      91/91          main [1]
[4]     99.9    0.00   12.57      91         Vtb::eval_step() [4]
                0.00   12.57      91/91          Vtb___024root___eval(Vtb___024root*) [3]
                0.00    0.00      91/92          VlDeleter::deleteAll() [52]
                0.00    0.00       1/1           Vtb___024root___eval_initial(Vtb___024root*) [116]
-----------------------------------------------
               11.53    1.04       5/5           Vtb___024root___eval_phase__nba(Vtb___024root*) [2]
[5]     99.9   11.53    1.04       5         Vtb___024root___nba_sequent__TOP__1__PROF__performance_degrade__l65(Vtb___024root*) [5]
                0.11    0.93 41943030/41943030     VL_FWRITEF(unsigned int, char const*, ...) [6]
                0.00    0.00       5/20          VL_WRITEF(char const*, ...) [17]
                0.00    0.00      20/25          std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&) [78]
                0.00    0.00      10/15          VL_FOPEN_NN(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [88]
                0.00    0.00      10/10          VerilatedContextImp::fdClose(unsigned int) [90]
                0.00    0.00      10/10          VL_FCLOSE_I(unsigned int) [89]
-----------------------------------------------
                0.11    0.93 41943030/41943030     Vtb___024root___nba_sequent__TOP__1__PROF__performance_degrade__l65(Vtb___024root*) [5]
[6]      8.3    0.11    0.93 41943030         VL_FWRITEF(unsigned int, char const*, ...) [6]
                0.12    0.41 41943030/41943030     VerilatedContextImp::fdWrite(unsigned int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [7]
                0.39    0.01 41943030/41943050     _vl_vsformat(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, char const*, __va_list_tag*) [9]
                0.00    0.00 41943030/41944667     Verilated::threadContextp() [28]
-----------------------------------------------
                0.12    0.41 41943030/41943030     VL_FWRITEF(unsigned int, char const*, ...) [6]
[7]      4.2    0.12    0.41 41943030         VerilatedContextImp::fdWrite(unsigned int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [7]
                0.37    0.04 41943030/41944635     VerilatedContextImp::fdToFpList(unsigned int) [8]
                0.00    0.00 41943030/41944848     VerilatedMutex::lock() [26]
                0.00    0.00 41943030/125832572     std::_Function_handler<void (), VL_FINISH_MT(char const*, int, char const*)::{lambda()#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation) [25]
                0.00    0.00 41943030/41944817     VerilatedLockGuard::~VerilatedLockGuard() [27]
-----------------------------------------------
                0.00    0.00    1605/41944635     VerilatedContextImp::fdToFp(unsigned int) [15]
                0.37    0.04 41943030/41944635     VerilatedContextImp::fdWrite(unsigned int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [7]
[8]      3.3    0.37    0.04 41944635         VerilatedContextImp::fdToFpList(unsigned int) [8]
                0.04    0.00 41944635/41944635     VerilatedFpList::push_back(_IO_FILE*) [10]
-----------------------------------------------
                0.00    0.00      20/41943050     VL_WRITEF(char const*, ...) [17]
                0.39    0.01 41943030/41943050     VL_FWRITEF(unsigned int, char const*, ...) [6]
[9]      3.2    0.39    0.01 41943050         _vl_vsformat(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, char const*, __va_list_tag*) [9]
                0.01    0.00 9765640/9765640     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [11]
                0.00    0.00 83886120/125832572     std::_Function_handler<void (), VL_FINISH_MT(char const*, int, char const*)::{lambda()#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation) [25]
-----------------------------------------------
                0.04    0.00 41944635/41944635     VerilatedContextImp::fdToFpList(unsigned int) [8]
[10]     0.3    0.04    0.00 41944635         VerilatedFpList::push_back(_IO_FILE*) [10]
-----------------------------------------------
                0.01    0.00 9765640/9765640     _vl_vsformat(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, char const*, __va_list_tag*) [9]
[11]     0.1    0.01    0.00 9765640         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [11]
-----------------------------------------------
                                                 <spontaneous>
[12]     0.1    0.01    0.00                 std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > _vl_vsformat_time<double>(char*, double, int, bool, unsigned long) [12]
-----------------------------------------------
                0.00    0.00      90/90          Vtb___024root___eval_phase__nba(Vtb___024root*) [2]
[13]     0.0    0.00    0.00      90         Vtb___024root___eval_nba(Vtb___024root*) [13]
                0.00    0.00      45/45          Vtb___024root___nba_sequent__TOP__0__PROF__performance_degrade__l62(Vtb___024root*) [14]
-----------------------------------------------
                0.00    0.00      45/45          Vtb___024root___eval_nba(Vtb___024root*) [13]
[14]     0.0    0.00    0.00      45         Vtb___024root___nba_sequent__TOP__0__PROF__performance_degrade__l62(Vtb___024root*) [14]
